time_s,temperature,target
0.0,148.1,0.0
1.0,146.7,230.0
2.0,144.9,230.0
3.0,143.7,230.0
4.0,142.4,230.0
5.0,141.0,230.0
6.0,140.2,230.0
7.0,139.6,230.0
8.0,139.2,230.0
9.0,139.1,230.0
10.0,139.3,230.0
11.0,139.8,230.0
12.0,140.2,230.0
12.9,141.3,230.0
13.9,142.5,230.0
14.9,143.5,230.0
15.9,144.8,230.0
16.9,146.3,230.0
17.9,148.0,230.0
18.9,149.6,230.0
19.9,151.0,230.0
20.9,152.9,230.0
22.0,154.5,230.0
23.0,156.1,230.0
24.0,158.4,230.0
25.0,160.3,230.0
26.0,161.9,230.0
27.0,163.6,230.0
28.0,165.7,230.0
29.0,167.5,230.0
30.0,169.0,230.0
31.0,170.8,230.0
32.0,172.6,230.0
33.0,174.7,230.0
34.0,176.3,230.0
35.0,177.8,230.0
36.0,179.6,230.0
37.0,180.8,230.0
38.0,182.5,230.0
39.0,185.2,230.0
40.0,186.6,230.0
41.0,188.3,230.0
42.0,190.0,230.0
43.0,191.4,230.0
44.0,193.0,230.0
45.0,194.4,230.0
46.0,195.8,230.0
47.0,198.1,230.0
48.0,199.7,230.0
49.0,201.0,230.0
50.0,202.1,230.0
51.0,203.8,230.0
52.0,205.2,230.0
53.0,207.0,230.0
54.0,208.0,230.0
55.0,209.2,230.0
56.0,211.2,230.0
56.9,212.2,230.0
57.9,213.2,230.0
58.9,216.0,230.0
59.9,216.7,230.0
60.9,217.8,230.0
61.9,219.0,230.0
62.9,220.9,230.0
63.9,222.1,230.0
64.9,223.3,230.0
65.9,224.2,230.0
67.0,225.0,230.0
68.0,227.2,230.0
69.0,228.1,230.0
70.0,229.0,230.0
71.0,230.0,230.0
72.0,230.9,230.0
73.0,232.3,230.0
74.0,233.3,230.0
75.0,234.3,230.0
76.0,235.4,230.0
77.0,235.9,230.0
78.0,235.9,230.0
79.0,236.9,230.0
80.0,237.5,230.0
81.0,238.0,230.0
82.0,238.0,230.0
83.0,239.7,230.0
84.0,240.2,230.0
85.0,240.8,0.0
86.0,243.1,0.0
87.0,243.1,0.0
